,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Name,Team,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
43,Santiago Orozco,Boyacá Patriot,2020-10-11,Sun,Primera A,First stage,Away,L 0–3,Boyacá Patriot,CD América,N,,29,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,,,Match Report
44,Santiago Orozco,Boyacá Patriot,2020-10-14,Wed,Primera A,First stage,Home,D 1–1,Boyacá Patriot,Pasto,Y,CM,90,0,0,0,0,3,1,1,0,1,3,0,2,2,2,0,,,Match Report
45,Santiago Orozco,Boyacá Patriot,2020-10-17,Sat,Primera A,First stage,Away,L 0–1,Boyacá Patriot,Millonarios,Y,DM,74,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,,,Match Report
46,Santiago Orozco,Boyacá Patriot,2020-11-03,Tue,Primera A,First stage,Away,D 0–0,Boyacá Patriot,Alianza,N,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
47,Santiago Orozco,Boyacá Patriot,2020-11-07,Sat,Primera A,First stage,Home,W 1–0,Boyacá Patriot,Pereira,Y,AM,90,0,0,0,0,1,1,0,0,3,1,0,1,1,2,0,,,Match Report
48,Santiago Orozco,Boyacá Patriot,2020-11-10,Tue,Primera A,First stage,Away,L 0–1,Boyacá Patriot,La Equidad,Y,AM,87,0,0,0,0,1,0,1,0,2,4,0,0,1,1,0,,,Match Report
49,Santiago Orozco,Boyacá Patriot,2020-11-14,Sat,Primera A,First stage,Home,W 2–0,Boyacá Patriot,Jaguares,Y,AM,90,0,0,0,0,1,0,0,0,1,1,0,2,0,1,0,,,Match Report
50,Santiago Orozco,Boyacá Patriot,2020-11-30,Mon,Primera A,Liguilla,Away,W 3–1,Boyacá Patriot,Boyacá Chicó,Y,CM,90,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,,,Match Report
51,Santiago Orozco,Boyacá Patriot,2020-12-04,Fri,Primera A,Liguilla,Home,L 2–3,Boyacá Patriot,Millonarios,Y,CM,90,0,0,0,0,2,1,0,0,1,1,0,1,0,2,0,,,Match Report
52,Santiago Orozco,Boyacá Patriot,2020-12-09,Wed,Primera A,Liguilla,Away,L 0–2,Boyacá Patriot,Once Caldas,Y,CM,80,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,,,Match Report
53,Jhon Fredy Miranda,Boyacá Patriot,2020-02-04,Tue,Primera A,First stage,Home,D 0–0,Boyacá Patriot,AD Cali,N,,25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,Match Report
54,Jhon Fredy Miranda,Boyacá Patriot,2020-02-07,Fri,Primera A,First stage,Away,L 1–3,Boyacá Patriot,Independiente,Y,RW,66,0,0,0,0,0,0,0,0,1,1,1,8,1,0,0,,,Match Report
55,Jhon Fredy Miranda,Boyacá Patriot,2020-02-16,Sun,Primera A,First stage,Home,L 0–2,Boyacá Patriot,Santa Fe,N,,26,0,0,0,0,1,1,0,0,1,0,1,3,0,0,0,,,Match Report
56,Jhon Fredy Miranda,Boyacá Patriot,2020-03-08,Sun,Primera A,First stage,Away,L 0–1,Boyacá Patriot,Tolima,N,,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,Match Report
57,Jhon Fredy Miranda,Boyacá Patriot,2020-09-19,Sat,Primera A,First stage,Home,L 0–1,Boyacá Patriot,Envigado,N,,21,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,,,Match Report
58,Jhon Fredy Miranda,Boyacá Patriot,2020-09-26,Sat,Primera A,First stage,Away,D 1–1,Boyacá Patriot,CA Bucaramanga,Y,FW,90,0,1,0,0,2,1,0,0,0,4,0,10,1,0,0,,,Match Report
59,Jhon Fredy Miranda,Boyacá Patriot,2020-10-04,Sun,Primera A,First stage,Home,D 0–0,Boyacá Patriot,Junior,Y,FW,90,0,0,0,0,1,0,1,0,2,2,2,1,0,2,0,,,Match Report
60,Jhon Fredy Miranda,Boyacá Patriot,2020-10-08,Thu,Primera A,First stage,Away,L 0–3,Boyacá Patriot,Rionegro,Y,FW,90,0,0,0,0,3,0,0,0,1,1,1,7,0,1,0,,,Match Report
61,Jhon Fredy Miranda,Boyacá Patriot,2020-10-11,Sun,Primera A,First stage,Away,L 0–3,Boyacá Patriot,CD América,Y,FW,68,0,0,0,0,2,1,0,0,0,0,1,2,0,0,0,,,Match Report
62,Jhon Fredy Miranda,Boyacá Patriot,2020-10-14,Wed,Primera A,First stage,Home,D 1–1,Boyacá Patriot,Pasto,Y,FW,90,0,0,0,0,1,0,1,0,1,3,0,12,0,0,0,,,Match Report
63,Jhon Fredy Miranda,Boyacá Patriot,2020-10-17,Sat,Primera A,First stage,Away,L 0–1,Boyacá Patriot,Millonarios,Y,AM,58,0,0,0,0,1,0,0,0,2,0,2,5,0,2,0,,,Match Report
64,Jhon Fredy Miranda,Boyacá Patriot,2020-10-25,Sun,Primera A,First stage,Home,W 2–1,Boyacá Patriot,Nacional,Y,CM,73,1,0,1,1,5,3,1,0,2,2,0,4,1,0,0,,,Match Report
65,Jhon Fredy Miranda,Boyacá Patriot,2020-11-03,Tue,Primera A,First stage,Away,D 0–0,Boyacá Patriot,Alianza,Y,AM,67,0,0,0,0,3,0,2,1,4,3,0,1,1,0,0,,,Match Report
66,Jhon Fredy Miranda,Boyacá Patriot,2020-11-10,Tue,Primera A,First stage,Away,L 0–1,Boyacá Patriot,La Equidad,N,,23,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,Match Report
67,Jhon Fredy Miranda,Boyacá Patriot,2020-11-14,Sat,Primera A,First stage,Home,W 2–0,Boyacá Patriot,Jaguares,Y,LB,81,1,0,1,1,4,2,0,0,0,1,1,14,0,0,0,,,Match Report
68,Jhon Fredy Miranda,Boyacá Patriot,2020-11-30,Mon,Primera A,Liguilla,Away,W 3–1,Boyacá Patriot,Boyacá Chicó,Y,FW,80,0,0,0,0,1,0,1,1,2,2,1,10,0,0,0,,,Match Report
69,Jhon Fredy Miranda,Boyacá Patriot,2020-12-04,Fri,Primera A,Liguilla,Home,L 2–3,Boyacá Patriot,Millonarios,N,,26,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,,,Match Report
70,Jhon Fredy Miranda,Boyacá Patriot,2020-12-09,Wed,Primera A,Liguilla,Away,L 0–2,Boyacá Patriot,Once Caldas,Y,FW,74,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,,,Match Report
71,Rodin Quiñónes,Boyacá Patriot,2020-02-04,Tue,Primera A,First stage,Home,D 0–0,Boyacá Patriot,AD Cali,Y,LW,90,0,0,0,0,1,0,0,0,1,2,0,4,0,1,0,,,Match Report
72,Rodin Quiñónes,Boyacá Patriot,2020-02-07,Fri,Primera A,First stage,Away,L 1–3,Boyacá Patriot,Independiente,Y,LW,90,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,,,Match Report
