,Name,Team,Comp,avg_goal,w_percentage,l_percentage,Min_sd,Gls_sd,Ast_sd,PK_sd,PKatt_sd,Sh_sd,SoT_sd,CrdY_sd,CrdR_sd,Fls_sd,Fld_sd,Off_sd,Crs_sd,TklW_sd,Int_sd,OG_sd,Min_n,Gls_n,Ast_n,PK_n,PKatt_n,CrdY_n,CrdR_n,Sh_n,SoT_n,Fls_n,Fld_n,Off_n,Crs_n,Int_n,TklW_n,OG_n,competition,position,min_norm,group_min
153,Andrés Rentería,Jaguares,1,0.348,0.348,0.217,29.193,0.507,0.282,0.0,0.0,1.463,0.82,0.282,0.0,0.748,1.034,0.706,0.282,0.606,0.606,0.0,1.097,2.08,1.0,0.0,0.0,2.177,2.253,0.433,1e-05,0.774,0.653,2.543,0.149,0.516,0.722,1e-05,13,AM,0.369,2
154,Jefferson Montañez,Jaguares,1,-1.167,0.167,0.833,28.441,0.471,0.0,0.0,0.0,0.373,0.5,0.745,0.373,0.745,0.5,0.0,0.745,1.067,0.943,0.0,0.521,0.0,0.0,0.0,0.0,0.381,0.312,0.0,0.0,0.197,0.288,0.0,0.362,0.633,0.156,1e-05,10,M,0.187,4
155,José Orlando Pérez,Jaguares,1,-0.125,0.25,0.5,27.923,0.331,0.0,0.0,0.0,0.331,0.331,0.484,0.0,0.866,0.707,0.331,0.696,1.0,0.992,0.0,0.563,4.5,0.0,1e-05,1e-05,0.173,0.5,0.771,0.0,0.777,0.562,4.5,0.25,0.387,0.287,1e-05,9,D,0.173,4
156,Israel Alba,Jaguares,1,-0.257,0.314,0.371,11.886,0.232,0.167,0.0,0.0,1.051,0.603,0.498,0.167,1.244,0.63,0.232,2.059,1.197,1.295,0.0,2.385,6.0,2.4,1e-05,1e-05,5.322,8.0,3.086,3.0,2.619,1.358,3.429,5.277,2.983,2.526,1e-05,12,D,1.0,1
157,Wilder Guisao,Jaguares,1,-0.273,0.273,0.364,27.697,0.0,0.0,0.0,0.0,0.617,0.386,0.386,0.0,1.052,1.192,0.287,1.029,0.643,0.481,0.0,0.381,0.0,0.0,1e-05,0.0,0.421,0.387,0.381,0.0,0.467,0.32,0.387,0.443,0.223,0.211,1e-05,12,M,0.703,1
158,Leonardo Saldaña,Jaguares,1,-0.333,0.167,0.5,28.184,0.0,0.373,0.0,0.0,1.067,0.0,0.5,0.0,0.687,1.462,0.0,1.675,0.471,1.067,0.0,0.2,0.0,1.75,1e-05,1e-05,0.356,0.0,0.359,0.0,0.249,0.427,0.538,1.058,0.187,0.08,1e-05,7,D,0.641,2
159,Sergio Esteban Romero,Jaguares,1,0.0,0.312,0.312,26.223,0.413,0.291,0.174,0.174,1.556,0.824,0.415,0.174,1.138,0.75,0.922,0.433,0.559,0.363,0.0,2.171,2.692,1.875,5.0,5.0,2.453,2.436,2.222,5.0,1.344,1.558,1.447,1.026,2.857,1.562,1e-05,5,A,0.478,3
160,Roger Lemus,Jaguares,1,0.067,0.267,0.4,25.889,0.249,0.0,0.0,0.0,0.884,0.442,0.249,0.0,0.854,0.442,0.0,0.884,0.596,0.772,0.0,0.332,0.5,0.0,0.0,0.0,0.615,0.56,0.246,0.0,0.538,0.159,0.0,0.28,0.504,0.271,1e-05,14,M,0.167,4
161,Jesús Murillo,Jaguares,1,-1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.57,0.0,3.5,1e-05,1e-05,0.56,0.875,0.512,0.0,0.655,0.368,1.4,2.13,0.726,0.524,7.0,7,D,0.261,3
162,Stiven Rentería,Jaguares,1,-1.5,0.0,0.75,30.158,0.0,0.0,0.0,0.0,0.5,0.0,0.433,0.0,1.225,0.433,0.5,0.866,0.0,0.433,0.0,0.392,0.5,0.0,1.0,0.8,0.583,0.857,0.727,0.0,0.8,0.578,0.0,0.154,0.364,0.308,1e-05,4,A,0.189,4
163,Juan Camilo Roa,Jaguares,1,0.8,0.6,0.2,21.189,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,1.497,0.49,0.0,0.0,0.8,0.4,0.0,0.298,0.455,0.0,0.0,0.0,0.368,0.372,0.0,1e-05,0.328,0.719,0.357,0.239,0.312,0.084,1e-05,15,M,0.934,1
164,Léiner Escalante,Jaguares,1,0.667,0.481,0.333,30.177,0.309,0.309,0.0,0.0,0.859,0.433,0.258,0.0,0.821,1.39,0.906,2.44,0.383,0.749,0.0,0.789,0.375,1.688,0.0,0.0,0.786,0.545,0.367,1e-05,0.612,1.008,2.712,1.831,0.243,0.75,1e-05,18,AM,0.106,4
165,Cleider Alzáte,Jaguares,1,0.279,0.442,0.279,30.902,0.369,0.321,0.0,0.0,1.096,0.542,0.29,0.0,0.687,1.023,0.151,1.814,0.757,0.428,0.0,1.201,2.586,2.308,0.0,0.0,1.279,1.562,0.545,0.0,0.541,1.282,0.395,1.437,0.593,0.423,1e-05,15,M,0.308,2
166,Rafhael Lucas,Jaguares,0,0.0,0.333,0.333,27.044,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.235,0.0,0.0,0.0,1e-05,1e-05,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,4,A,0.29,3
167,Olmes García,Jaguares,1,0.1,0.35,0.25,23.71,0.499,0.213,0.0,0.0,1.006,0.587,0.35,0.0,1.269,1.53,0.575,1.48,0.713,0.426,0.0,0.748,1.846,0.9,0.0,0.0,0.86,1.446,0.257,0.0,0.794,1.12,2.824,1.105,0.529,0.329,1e-05,18,AM,0.178,4
168,Danilson Córdoba,Jaguares,1,0.6,0.7,0.2,27.628,0.0,0.3,0.0,0.0,0.917,0.0,0.3,0.0,0.98,0.3,0.0,0.458,1.249,1.269,0.0,0.199,0.0,0.556,0.0,0.0,0.158,0.0,0.2,0.0,0.356,0.039,0.0,0.09,0.4,0.374,1e-05,15,M,0.144,4
169,Álvaro Meléndez,CA Bucaramanga,1,-1.833,0.0,0.833,23.678,0.0,0.0,0.0,0.0,0.745,0.745,0.373,0.0,0.577,0.687,0.0,1.572,0.373,0.745,0.0,0.375,0.933,0.0,1e-05,1e-05,0.645,1.302,0.0,0.0,0.368,0.774,1.077,1.704,0.237,0.125,1e-05,14,M,0.781,1
170,Andrés Felipe Correa,CA Bucaramanga,1,0.15,0.35,0.15,6.389,0.294,0.0,0.0,0.0,1.362,0.563,0.393,0.0,0.868,0.785,0.426,0.467,0.777,1.327,0.0,1.544,3.5,0.0,1e-05,1e-05,2.492,2.211,0.966,0.0,0.855,1.377,7.0,0.148,1.379,1.62,1e-05,7,D,0.729,1
171,John Édison Hernández,CA Bucaramanga,1,-0.647,0.235,0.588,21.712,0.235,0.235,0.0,0.0,0.998,0.771,0.381,0.0,1.326,0.941,0.513,1.349,1.188,0.681,0.0,1.623,0.933,1.4,1e-05,1e-05,1.474,2.279,1.448,0.0,1.695,0.774,1.615,1.333,2.017,1.375,1e-05,14,M,0.523,2
172,Cristian Blanco,CA Bucaramanga,1,-0.231,0.308,0.462,31.02,0.0,0.0,0.0,0.0,0.746,0.266,0.0,0.0,0.843,0.499,0.266,1.576,1.026,0.961,0.266,0.611,0.0,0.0,0.0,0.0,0.373,0.244,0.0,0.0,0.175,0.382,0.826,0.754,0.743,0.905,4.75,19,DM,0.471,2
173,Carlos Henao,CA Bucaramanga,1,-0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.64,0.4,0.3,0.0,0.5,0.671,0.0,0.0,0.8,1.497,0.0,0.665,0.0,0.0,1e-05,1e-05,0.645,0.737,0.318,0.0,0.28,0.254,0.0,0.0,0.322,0.778,0.0,7,D,0.441,3
174,Andrés Sarmiento,CA Bucaramanga,1,-0.583,0.167,0.5,24.415,0.373,0.373,0.0,0.0,1.863,0.624,0.0,0.0,0.759,1.518,0.759,0.595,1.187,0.373,0.0,0.714,1.7,3.091,0.0,0.0,2.278,1.172,0.0,0.0,0.556,0.922,2.237,0.773,0.952,0.293,1e-05,17,AM,0.373,4
175,Jair Palacios,CA Bucaramanga,1,0.294,0.471,0.235,4.0,0.0,0.0,0.0,0.0,0.471,0.0,0.6,0.235,1.926,1.248,0.0,1.626,1.637,0.963,0.0,0.973,0.0,0.0,0.0,0.0,0.274,0.0,1.186,2.5,1.203,2.214,0.0,2.115,1.946,0.57,1e-05,10,D,0.787,1
176,Cristhian Subero,CA Bucaramanga,1,-0.538,0.231,0.513,8.385,0.158,0.379,0.0,0.0,0.613,0.361,0.487,0.158,1.143,0.975,0.361,2.331,0.812,1.533,0.0,2.191,2.75,6.286,1e-05,1e-05,3.048,3.056,2.979,2.2,2.26,2.231,2.2,4.216,1.913,2.208,1e-05,11,D,0.605,2
177,Henry Rojas,CA Bucaramanga,1,0.344,0.375,0.281,27.774,0.239,0.287,0.0,0.171,1.013,0.555,0.171,0.0,0.783,1.055,0.239,2.342,1.243,1.273,0.0,1.645,0.806,2.417,0.0,0.0,1.963,2.26,0.236,0.0,0.604,1.257,0.492,2.942,1.988,2.175,1e-05,29,DM,0.44,2
178,Nicolás Roa,CA Bucaramanga,1,-0.095,0.238,0.333,20.879,0.213,0.213,0.0,0.0,0.642,0.452,0.486,0.0,1.285,1.151,0.0,1.208,1.578,1.327,0.0,0.968,0.778,0.0,0.0,0.0,0.575,0.667,0.966,0.0,1.046,0.715,0.0,0.204,1.902,2.019,1e-05,21,M,0.425,2
179,Bryan Castrillón,CA Bucaramanga,1,0.333,0.381,0.238,23.83,0.0,0.0,0.0,0.0,0.898,0.587,0.0,0.0,0.583,1.385,0.499,1.498,0.906,0.499,0.0,0.949,0.0,0.0,0.0,0.0,0.928,1.163,0.0,0.0,0.466,1.558,1.194,1.887,0.991,0.419,0.0,20,AM,0.32,3
180,Martín Payares,CA Bucaramanga,1,-0.148,0.185,0.37,0.0,0.189,0.189,0.0,0.0,0.733,0.314,0.355,0.0,1.198,0.875,0.189,0.0,0.629,1.066,0.0,1.362,3.0,2.4,1e-05,1e-05,1.252,0.444,1.029,0.0,1.462,1.245,1.714,0.0,0.832,1.378,1e-05,12,D,0.403,3
181,Ever Valencia,CA Bucaramanga,1,-0.318,0.273,0.409,27.457,0.204,0.204,0.0,0.0,0.947,0.507,0.282,0.204,0.761,0.895,0.0,1.559,0.46,0.46,0.0,0.256,0.389,0.0,0.0,0.0,0.39,0.479,0.0,0.0,0.242,0.265,0.0,0.492,0.118,0.117,1e-05,14,AM,0.224,4
182,Camilo Mancilla,CA Bucaramanga,1,-0.152,0.333,0.394,12.662,0.287,0.171,0.0,0.0,0.937,0.494,0.46,0.0,0.757,0.7,0.326,0.359,0.977,1.552,0.171,1.564,8.0,1.0,1e-05,1e-05,1.878,3.048,1.429,0.0,0.977,0.966,3.556,0.225,1.325,1.704,8.0,8,D,0.738,1
183,Alejandro Bernal,CA Bucaramanga,1,-0.136,0.318,0.364,18.435,0.287,0.0,0.0,0.0,1.083,0.568,0.538,0.287,1.017,0.798,0.0,0.538,1.355,0.919,0.0,1.73,1.333,0.0,0.0,0.0,1.062,1.358,1.588,4.5,1.866,1.01,0.0,0.289,2.533,1.879,0.0,18,M,0.348,2
184,Roque Caballero,CA Bucaramanga,1,0.0,0.4,0.3,26.69,0.4,0.4,0.0,0.0,0.943,0.663,0.3,0.0,1.1,0.943,0.4,0.3,0.663,0.64,0.0,0.634,0.706,1.714,0.0,0.0,0.47,0.545,1.0,1e-05,0.857,0.892,0.324,0.092,1.043,1.125,1e-05,6,A,0.227,3
185,Jonathan Ávila,CA Bucaramanga,1,0.29,0.419,0.258,34.184,0.0,0.0,0.0,0.0,0.682,0.174,0.464,0.0,1.596,0.706,0.174,0.291,1.0,1.411,0.0,1.408,0.0,0.0,1e-05,1e-05,1.305,0.786,2.619,0.0,2.069,1.059,0.917,0.133,1.588,1.298,0.0,11,D,0.248,3
186,Elkin Blanco,CA Bucaramanga,1,-0.621,0.241,0.517,17.241,0.0,0.0,0.0,0.0,0.72,0.182,0.485,0.0,1.437,1.133,0.0,0.433,1.523,2.046,0.0,0.985,0.0,0.0,0.0,0.0,0.265,0.17,0.794,0.0,1.109,0.827,0.0,0.0,1.357,2.176,0.0,18,M,0.186,4
187,César Quintero,CA Bucaramanga,1,-0.091,0.364,0.455,26.937,0.287,0.287,0.0,0.0,0.481,0.287,0.445,0.0,0.656,1.537,0.287,1.24,0.891,0.481,0.0,0.455,0.517,0.577,0.0,0.0,0.197,0.156,0.545,0.0,0.27,0.47,0.395,0.287,0.296,0.282,1e-05,15,M,0.324,2
188,Dairín González,CA Bucaramanga,1,0.034,0.31,0.345,24.193,0.0,0.0,0.0,0.0,0.378,0.0,0.543,0.182,1.074,0.67,0.305,0.0,1.094,1.689,0.0,1.36,0.0,0.0,1e-05,1e-05,0.776,0.0,1.875,3.0,1.338,0.841,2.455,0.0,1.158,1.372,1e-05,9,D,0.284,3
189,Marvin Vallecilla,CA Bucaramanga,1,-0.115,0.308,0.423,8.918,0.0,0.319,0.0,0.0,0.394,0.192,0.494,0.192,1.276,1.617,0.192,2.136,1.867,1.743,0.0,1.484,0.0,3.375,1e-05,1e-05,0.616,0.45,2.106,2.25,1.914,2.543,1.8,1.812,2.609,1.622,0.0,9,D,0.247,3
190,Víctor Castillo,CA Bucaramanga,1,0.364,0.455,0.273,38.815,0.0,0.0,0.0,0.0,0.445,0.287,0.445,0.0,1.213,0.643,0.0,0.0,1.666,0.656,0.0,0.392,0.0,0.0,0.0,0.0,0.148,0.156,0.818,0.0,0.766,0.128,0.0,0.0,0.83,0.423,1e-05,15,M,0.199,4
191,Yilmar Filigrana,CA Bucaramanga,0,-0.111,0.333,0.444,9.942,0.314,0.0,0.0,0.0,0.416,0.416,0.416,0.0,0.816,0.314,0.0,0.956,0.471,0.314,0.0,0.335,0.0,0.0,0.0,0.0,0.312,0.156,0.483,0.0,0.414,0.155,0.382,0.53,0.389,0.361,1e-05,7,A,0.116,4
192,Maximiliano Núñez,CA Bucaramanga,1,0.051,0.385,0.359,26.773,0.218,0.263,0.0,0.0,1.481,0.632,0.0,0.156,0.441,1.107,0.499,4.188,0.263,0.357,0.0,0.967,0.542,1.219,0.0,0.0,1.152,1.426,0.0,6.5,0.204,0.759,0.94,2.03,0.097,0.114,1e-05,13,AM,0.105,4
193,Jáder Maza,Envigado,1,-1.5,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.314,0.667,0.0,0.0,0.0,0.231,0.348,0.0,1e-05,0.389,0.043,0.387,0.61,0.378,0.414,1e-05,12,M,0.855,1
194,Jonathan Lopera,Envigado,1,-0.118,0.235,0.412,32.31,0.229,0.0,0.0,0.0,0.756,0.448,0.591,0.229,0.711,0.762,0.229,0.373,0.685,1.462,0.0,0.957,2.0,0.0,1e-05,1e-05,1.443,2.0,2.545,4.0,1.0,0.549,1.0,0.13,0.719,1.518,1e-05,8,D,0.558,1
195,Jean Lucas Rivera,Envigado,1,-0.091,0.182,0.273,29.768,0.0,0.0,0.0,0.0,0.782,0.445,0.287,0.0,1.336,1.24,0.0,1.725,0.782,0.445,0.0,0.282,0.0,0.0,0.0,0.0,0.251,0.286,0.295,0.0,0.424,0.412,0.0,0.276,0.359,0.213,1e-05,18,M,0.485,2
196,Oswal Álvarez,Envigado,1,-0.778,0.0,0.444,15.179,0.0,0.0,0.0,0.0,0.416,0.0,0.0,0.0,0.685,0.816,0.314,0.0,0.314,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.45,0.489,0.0,0.0,0.37,0.126,0.153,0.252,0.087,0.184,1e-05,9,A,0.178,3
197,Jhoaho Hinestroza,Envigado,1,-0.667,0.0,0.667,23.367,0.0,0.0,0.0,0.0,0.471,0.0,0.0,0.0,0.471,0.816,0.471,0.816,0.0,0.471,0.0,0.269,0.0,0.0,0.0,0.0,0.127,0.0,0.0,0.0,0.266,0.041,0.0,0.064,0.117,0.276,1e-05,14,M,0.145,4
198,Wilmar Jordán,Envigado,1,-0.667,0.167,0.542,26.207,0.538,0.373,0.276,0.276,1.579,1.027,0.276,0.0,1.224,1.675,0.455,0.331,0.373,0.439,0.0,0.596,1.929,1.636,0.0,0.0,0.725,0.808,0.0,0.0,0.9,0.72,0.529,0.089,0.409,0.269,1e-05,9,A,0.254,4
199,Wilfrido de la Rosa Mendoza,Envigado,1,0.143,0.429,0.357,30.517,0.821,0.0,0.0,0.0,1.245,0.906,0.35,0.0,1.206,1.319,0.61,0.795,0.258,0.0,0.0,0.487,1.371,0.0,0.0,0.0,0.478,0.675,0.8,0.0,0.76,0.55,1.212,0.158,0.116,0.0,1e-05,8,A,0.839,1
200,Alexis Zapata,Envigado,1,0.5,0.375,0.125,28.089,0.0,0.0,0.0,0.0,1.09,0.707,0.331,0.0,1.323,0.992,0.0,0.484,0.484,0.696,0.0,0.199,0.0,0.0,0.0,0.0,0.285,0.322,0.222,0.0,0.255,0.157,0.0,0.115,0.135,0.161,1e-05,12,M,0.144,4
201,César Arias,Rionegro,1,-0.588,0.294,0.529,26.571,0.381,0.235,0.235,0.235,0.963,0.478,0.235,0.0,0.749,0.749,0.762,0.691,0.424,0.322,0.0,1.606,1.875,1.667,1.667,1.667,1.25,1.5,1.0,1e-05,1.304,1.017,1.429,1.667,1.053,1.111,1e-05,5,A,0.636,1
202,Alejandro Artunduaga,Rionegro,1,-0.333,0.222,0.5,13.579,0.229,0.229,0.0,0.0,0.756,0.416,0.416,0.0,0.816,1.599,0.229,1.5,1.213,0.994,0.0,1.383,0.9,1.5,0.0,0.0,0.78,0.867,1.412,0.0,1.223,2.25,0.486,1.897,1.979,1.236,1e-05,18,DM,0.499,2
203,Juan Salazar,Rionegro,1,0.522,0.522,0.304,26.404,0.319,0.361,0.0,0.0,1.344,0.793,0.394,0.0,1.012,1.133,0.192,2.317,0.444,0.266,0.0,0.486,0.367,2.062,0.0,0.0,0.737,1.06,0.393,1e-05,0.579,0.737,0.333,1.269,0.328,0.108,1e-05,11,M,0.381,2
204,Elicer Quiñones,Rionegro,1,0.105,0.368,0.474,29.102,0.35,0.0,0.0,0.0,0.471,0.393,0.213,0.0,0.35,0.426,0.0,1.91,0.467,0.294,0.0,0.352,0.0,0.0,0.0,0.0,0.211,0.133,0.393,1e-05,0.526,0.227,0.0,0.192,0.575,0.431,1e-05,11,M,0.0,4
205,Jhon Fredy Miranda,Rionegro,1,-0.667,0.167,0.556,26.851,0.314,0.229,0.314,0.314,1.42,0.831,0.577,0.314,1.1,1.242,0.678,4.016,0.448,0.65,0.0,1.114,2.6,1.444,8.667,8.667,1.577,1.576,2.516,8.667,1.292,1.066,3.763,5.064,0.765,0.596,1e-05,13,AM,0.216,3
206,John Freddy Pérez,Rionegro,1,-0.282,0.231,0.436,25.867,0.458,0.156,0.156,0.156,1.738,0.872,0.38,0.0,0.67,1.243,0.263,2.733,0.418,0.833,0.0,1.429,4.333,0.0,1e-05,0.0,2.733,3.059,0.419,0.0,0.616,1.642,0.812,4.368,0.634,0.911,1e-05,13,M,0.328,2
207,David Valencia,Rionegro,1,-0.64,0.16,0.48,24.905,0.0,0.0,0.0,0.0,0.463,0.196,0.427,0.0,1.312,0.574,0.196,0.271,0.993,1.573,0.0,1.165,0.0,0.0,0.0,0.0,0.208,0.0,0.276,0.0,0.848,0.651,0.667,0.042,1.13,1.341,0.0,8,D,0.3,2
208,John Fredy Salazar,Rionegro,1,-0.156,0.375,0.281,29.537,0.242,0.291,0.0,0.0,1.031,0.704,0.363,0.0,1.458,1.622,0.65,3.162,1.071,0.643,0.0,1.538,1.059,3.176,0.0,0.0,1.663,2.298,1.837,0.0,1.743,2.408,3.176,5.4,2.212,1.145,1e-05,18,AM,0.77,1
209,Mateo Puerta,Rionegro,1,-0.571,0.286,0.571,27.432,0.0,0.0,0.0,0.0,0.35,0.35,0.35,0.0,2.07,0.833,0.35,1.05,1.05,0.881,0.0,0.347,0.0,0.0,1e-05,1e-05,0.08,0.27,0.196,0.0,0.628,0.375,1.25,0.362,0.561,0.459,0.0,10,D,0.58,2
210,Geovan Montes,Rionegro,1,-0.5,0.125,0.312,18.218,0.0,0.0,0.0,0.0,0.599,0.242,0.609,0.242,1.118,1.116,0.39,1.285,1.09,1.158,0.0,0.996,0.0,0.0,1e-05,1e-05,0.878,0.462,1.355,6.0,1.112,1.84,3.273,1.611,0.783,0.988,1e-05,12,D,0.364,3
211,Jonny Mosquera,Rionegro,1,-0.375,0.375,0.438,27.438,0.0,0.0,0.0,0.0,0.433,0.0,0.39,0.0,1.031,1.111,0.0,0.0,0.901,1.495,0.0,0.434,0.0,0.0,0.0,0.0,0.22,0.0,0.919,0.0,0.436,0.697,0.0,0.0,0.604,1.184,1e-05,17,M,0.274,3
212,Jáder Obrian,Rionegro,1,0.8,0.6,0.2,25.487,0.0,0.0,0.0,0.0,0.8,0.4,0.0,0.0,1.47,1.166,1.2,1.166,0.748,0.8,0.0,0.28,0.0,0.0,0.0,0.0,0.228,0.082,0.5,1e-05,0.409,0.367,0.356,0.338,0.16,0.157,1e-05,8,A,1.0,1
213,Mauricio Restrepo,Rionegro,1,0.0,0.4,0.371,33.591,0.167,0.0,0.0,0.0,0.905,0.318,0.377,0.0,1.245,0.692,0.0,0.553,1.286,1.009,0.0,1.814,0.559,0.0,0.0,0.0,0.799,0.603,1.61,0.0,1.773,0.657,0.0,0.28,1.909,2.448,1e-05,19,M,0.442,1
214,Aldo Leão Ramírez,Rionegro,1,0.576,0.508,0.169,30.995,0.246,0.215,0.0,0.0,0.936,0.52,0.272,0.0,1.012,0.907,0.215,1.877,1.035,0.666,0.0,1.455,1.889,1.308,0.0,0.0,1.197,0.992,0.911,0.0,1.003,1.208,0.773,1.529,1.352,1.29,0.0,17,M,0.338,2
215,David Contreras,Rionegro,1,-0.333,0.5,0.333,23.735,0.0,0.0,0.0,0.0,0.373,0.0,0.0,0.0,1.118,1.915,0.0,0.0,0.745,0.745,0.0,0.241,0.0,0.0,0.0,0.0,0.101,0.0,0.39,0.0,0.119,0.235,0.0,0.037,0.332,0.085,1e-05,16,M,0.242,3
216,Miguel Ángel Murillo,Rionegro,1,-0.375,0.312,0.469,31.14,0.39,0.0,0.174,0.174,0.966,0.464,0.413,0.174,0.537,0.931,0.661,0.242,0.242,0.0,0.0,0.465,0.75,0.0,1.0,0.8,0.5,0.381,1.091,4.0,0.514,0.627,0.571,0.154,0.364,0.0,1e-05,4,A,0.219,3
217,Gilberto García,Rionegro,1,-0.405,0.216,0.486,8.757,0.273,0.273,0.0,0.162,1.15,0.965,0.392,0.0,0.885,0.916,0.162,4.424,1.038,1.177,0.0,2.722,4.0,5.6,0.0,14.0,3.662,5.451,2.202,0.0,1.705,2.297,0.622,10.951,2.715,3.009,1e-05,28,DM,0.177,3
218,Elacio Córdoba,Rionegro,1,-0.333,0.306,0.5,14.511,0.0,0.276,0.0,0.0,0.48,0.346,0.55,0.164,1.164,1.08,0.229,1.959,1.584,1.871,0.0,1.039,0.0,2.571,0.0,0.0,0.499,1.038,2.667,4.5,1.523,0.95,0.551,2.194,2.041,1.717,1e-05,26,DM,0.172,3
219,Giovanny Martínez,Rionegro,1,-0.25,0.25,0.5,28.0,0.0,0.0,0.0,0.0,1.111,0.609,0.39,0.0,0.827,0.857,0.0,0.599,0.966,1.446,0.0,0.985,0.0,0.0,0.0,0.0,1.072,1.291,0.864,0.0,1.48,0.649,0.0,0.2,1.591,2.386,1e-05,19,M,0.166,3
220,Víctor Aquino,Rionegro,1,0.188,0.375,0.312,19.71,0.696,0.0,0.353,0.373,0.86,0.586,0.406,0.2,0.699,0.977,0.439,0.317,0.286,0.2,0.0,0.811,0.562,0.0,0.0,4.5,0.684,0.703,0.346,0.0,0.854,0.931,0.982,0.169,0.391,0.621,1e-05,9,A,0.143,4
221,Iván Rivas,Rionegro,1,0.226,0.387,0.29,34.54,0.475,0.242,0.242,0.242,1.414,0.75,0.242,0.0,0.926,1.023,0.592,0.363,0.609,0.744,0.0,0.31,0.0,0.0,0.0,0.0,0.524,0.427,0.596,0.0,0.29,0.335,0.0,0.733,0.313,0.243,1e-05,14,M,0.169,4
222,Alexis Hinestroza,Rionegro,1,-0.574,0.277,0.511,23.006,0.0,0.0,0.0,0.0,0.614,0.356,0.457,0.0,1.545,0.862,0.144,0.334,0.914,1.04,0.0,2.21,0.0,0.0,0.0,0.0,0.911,1.043,4.293,0.0,2.844,1.098,0.41,0.185,1.99,2.468,1e-05,16,M,0.154,4
223,Camilo Ayala,Rionegro,1,0.242,0.364,0.242,21.236,0.0,0.0,0.0,0.0,0.555,0.235,0.456,0.169,1.415,0.937,0.169,0.567,1.22,1.375,0.0,1.717,0.0,0.0,1e-05,1e-05,0.681,0.382,1.492,2.6,2.194,0.822,0.0,0.305,2.438,2.575,1e-05,13,M,1.0,1
224,Humberto Osorio,Rionegro,1,0.7,0.4,0.1,22.531,0.0,0.0,0.0,0.0,0.49,0.4,0.4,0.0,0.98,1.0,0.3,0.0,0.458,0.64,0.0,0.344,0.0,0.0,0.0,0.0,0.312,0.289,0.867,0.0,0.525,0.578,0.232,0.0,0.306,0.722,1e-05,13,A,0.701,1
225,Carlos Andrés Ramírez,Rionegro,1,0.26,0.44,0.3,16.663,0.137,0.295,0.0,0.0,1.193,0.508,0.453,0.137,0.799,0.635,0.0,2.97,0.849,1.531,0.137,0.554,2.25,0.0,1e-05,1e-05,1.973,2.7,0.766,2.25,0.517,0.342,0.0,0.938,0.373,0.551,0.0,9,D,0.564,2
226,Jhonny Alexander Vásquez,Rionegro,1,0.042,0.375,0.292,34.492,0.0,0.2,0.0,0.0,0.577,0.276,0.576,0.2,1.825,1.207,0.276,0.829,0.799,1.079,0.0,0.955,0.0,0.0,1e-05,1e-05,0.624,0.382,2.77,2.6,1.381,0.94,1.3,0.305,1.0,1.57,1e-05,13,M,0.437,2
227,Omar Vásquez,Rionegro,1,-0.263,0.211,0.368,25.837,0.158,0.303,0.158,0.158,1.15,0.562,0.361,0.0,1.097,1.63,0.221,2.685,0.911,0.827,0.0,1.793,0.531,4.0,2.125,1.889,2.095,1.821,1.789,0.0,1.917,3.409,0.708,4.04,2.383,1.517,1e-05,17,AM,0.374,2
228,Edison Toloza,Rionegro,1,0.0,0.316,0.404,25.356,0.487,0.347,0.0,0.0,1.769,1.041,0.347,0.131,1.081,0.913,0.899,3.915,0.449,0.541,0.0,0.658,1.412,0.6,0.0,0.0,1.28,1.444,0.212,0.0,0.418,0.315,2.069,2.0,0.058,0.307,1e-05,18,AM,0.304,3
229,Daniel Lloreda,Rionegro,1,2.5,1.0,0.0,18.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,1.5,0.0,0.5,1.0,0.5,1.0,0.0,0.302,0.0,0.778,0.0,0.0,0.372,0.0,0.618,0.0,0.252,0.676,0.0,0.185,0.717,0.072,1e-05,21,M,0.208,3
230,Daniel Quiñones,Pasto,1,0.421,0.316,0.211,31.295,0.0,0.0,0.0,0.0,0.44,0.0,0.223,0.0,0.95,0.591,0.0,1.758,0.832,1.257,0.0,0.317,0.0,0.0,1e-05,1e-05,0.267,0.0,0.0,0.0,0.378,0.353,0.0,0.636,0.606,0.302,1e-05,8,D,0.501,1
231,David Alejandro Gómez,Pasto,1,0.158,0.316,0.158,6.538,0.0,0.218,0.0,0.0,0.943,0.433,0.49,0.0,1.005,0.889,0.0,2.844,0.735,0.865,0.0,1.467,0.0,1.75,1e-05,1e-05,2.136,1.842,1.69,0.0,1.336,1.951,0.0,3.204,0.742,0.926,1e-05,7,D,0.222,3
