,Name,Team,Comp,avg_goal,w_percentage,l_percentage,Min_sd,Gls_sd,Ast_sd,PK_sd,PKatt_sd,Sh_sd,SoT_sd,CrdY_sd,CrdR_sd,Fls_sd,Fld_sd,Off_sd,Crs_sd,TklW_sd,Int_sd,OG_sd,Min_n,Gls_n,Ast_n,PK_n,PKatt_n,CrdY_n,CrdR_n,Sh_n,SoT_n,Fls_n,Fld_n,Off_n,Crs_n,Int_n,TklW_n,OG_n,competition,position,min_norm,group_min
48,Luis Miranda,Tolima,1,-0.132,0.368,0.421,17.691,0.408,0.431,0.0,0.0,1.332,0.636,0.425,0.0,1.184,1.442,0.67,0.887,0.824,1.026,0.0,1.885,3.111,3.652,0.0,0.0,2.145,1.915,1.514,0.0,1.545,2.156,2.121,1.286,1.529,2.167,1e-05,14,AM,0.547,2
49,Jean Pestaña,Tolima,1,-0.667,0.095,0.429,28.784,0.0,0.0,0.0,0.0,0.547,0.294,0.547,0.213,1.468,0.811,0.0,0.213,1.082,0.849,0.0,1.24,0.0,0.0,1e-05,0.0,0.39,0.42,1.389,6.25,1.441,0.872,0.0,0.043,1.592,0.743,1e-05,25,DM,0.453,3
50,Anderson Angulo,Tolima,1,-0.625,0.125,0.5,24.546,0.331,0.0,0.0,0.0,1.0,0.331,0.433,0.0,0.696,0.484,0.331,0.0,0.696,0.866,0.0,0.375,2.75,0.0,1e-05,1e-05,0.537,0.611,0.31,0.0,0.169,0.128,0.786,0.0,0.257,0.292,1e-05,11,D,0.293,4
51,Alex Castro,Tolima,1,-0.355,0.323,0.548,16.679,0.296,0.395,0.0,0.0,1.121,0.542,0.418,0.177,0.954,1.176,0.438,3.198,0.974,0.698,0.0,2.148,1.8,4.286,0.0,0.0,1.951,2.115,1.667,3.75,1.517,1.751,3.0,3.099,1.865,0.902,0.0,15,M,0.987,1
52,Larry Vásquez,Tolima,1,0.0,0.286,0.214,30.684,0.0,0.0,0.0,0.0,1.0,0.41,0.479,0.0,1.178,0.821,0.0,0.558,1.118,0.86,0.0,0.751,0.0,0.0,0.0,0.0,0.743,0.509,1.324,0.0,1.109,0.367,0.0,0.144,1.899,1.088,0.0,18,M,0.943,1
53,José Moya,Tolima,1,0.194,0.306,0.278,26.736,0.276,0.229,0.0,0.0,0.896,0.346,0.48,0.0,1.265,0.787,0.419,0.441,1.518,1.235,0.0,0.971,3.333,1.667,1e-05,1e-05,0.889,1.0,1.304,0.0,1.053,0.759,3.077,0.256,1.51,0.921,1e-05,10,D,0.341,3
54,Yeison Gordillo,Tolima,1,0.565,0.435,0.217,23.881,0.0,0.2,0.0,0.0,0.968,0.408,0.496,0.0,2.034,1.118,0.0,0.559,1.755,1.505,0.0,2.23,0.0,0.842,1e-05,1e-05,1.26,0.79,3.886,0.0,3.746,1.793,0.0,0.329,3.678,4.377,1e-05,16,M,0.408,2
55,Leyvin Balanta,Tolima,1,0.364,0.455,0.455,31.823,0.0,0.204,0.0,0.0,0.547,0.204,0.282,0.204,1.072,0.773,0.204,1.433,0.85,1.521,0.0,0.846,0.0,1.667,1e-05,1e-05,0.556,0.0,0.217,1.429,1.1,0.633,0.769,1.41,0.885,0.794,1e-05,10,D,0.35,3
56,Diego Valdés Giraldo,Tolima,1,-0.6,0.257,0.514,4.295,0.645,0.398,0.167,0.167,1.265,0.967,0.377,0.0,1.578,1.413,1.055,0.769,0.962,0.731,0.0,2.715,4.5,2.667,2.0,2.0,3.281,4.0,2.571,0.0,3.2,2.659,4.0,2.073,2.52,1.846,1e-05,6,A,0.424,3
57,Juan Nieto,Tolima,1,0.421,0.447,0.211,22.615,0.223,0.431,0.0,0.0,1.208,0.639,0.307,0.0,0.811,1.352,0.27,2.321,1.224,0.785,0.0,1.371,0.559,4.75,0.0,0.0,1.291,1.508,0.322,0.0,0.95,1.553,0.463,2.194,1.727,0.466,1e-05,19,M,0.248,4
