,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
40,Diego Alejandro Martínez,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-10-10,Sat,Primera A,First stage,Home,D 1–1,Pasto,AD Cali,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
41,Diego Alejandro Martínez,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-10-14,Wed,Primera A,First stage,Away,D 1–1,Pasto,Boyacá Patriot,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
42,Diego Alejandro Martínez,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-10-18,Sun,Primera A,First stage,Home,W 2–1,Pasto,Independiente,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
43,Diego Alejandro Martínez,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-10-25,Sun,Primera A,First stage,Away,L 2–3,Pasto,CD América,Y,GK,90,3,3,1,33.3,0,1,1,0,0,Match Report
44,Diego Alejandro Martínez,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-11-15,Sun,Primera A,First stage,Away,D 1–1,Pasto,Pereira,Y,GK,39,2,1,1,50.0,0,0,0,0,0,Match Report
45,Diego Alejandro Martínez,Pasto,https://www.fbref.com//en/squads/a7854d10/2019/s3927/Santa-Fe-Stats-Categoria-Primera-A,2019-04-20,Sat,Primera A,Apertura Regular Season,Home,L 1–2,Santa Fe,AD Cali,N,,70,3,1,2,66.7,0,0,0,0,0,Match Report
46,Luis Enrique Delgado,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-02-07,Fri,Primera A,First stage,Home,W 4–0,Pasto,CA Bucaramanga,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
47,Luis Enrique Delgado,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-02-12,Wed,Sudamericana,First stage,Away,L 0–1,co Pasto,cl Huachipato,Y,GK,90,4,1,4,100.0,0,1,1,0,0,Match Report
48,Luis Enrique Delgado,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-02-21,Fri,Primera A,First stage,Home,W 1–0,Pasto,Envigado,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
49,Luis Enrique Delgado,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-02-26,Wed,Sudamericana,First stage,Home,L 0–1,co Pasto,cl Huachipato,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
