,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Name,Team,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
46,Diego Herazo,CA Bucaramanga,2020-02-07,Fri,Primera A,First stage,Away,L 0–4,CA Bucaramanga,Pasto,N,,45,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,,Match Report
47,Diego Herazo,CA Bucaramanga,2020-02-16,Sun,Primera A,First stage,Away,L 0–4,CA Bucaramanga,Envigado,Y,FW,54,0,0,0,0,5,1,1,0,3,2,2,1,0,0,0,,,Match Report
48,Diego Herazo,CA Bucaramanga,2020-02-23,Sun,Primera A,First stage,Home,W 2–0,CA Bucaramanga,Rionegro,Y,FW,90,1,0,0,0,3,1,0,0,2,0,1,0,0,0,0,,,Match Report
49,Diego Herazo,CA Bucaramanga,2020-03-01,Sun,Primera A,First stage,Away,W 1–0,CA Bucaramanga,Cúcuta,Y,FW,86,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,,,Match Report
50,Diego Herazo,CA Bucaramanga,2020-03-07,Sat,Primera A,First stage,Home,D 1–1,CA Bucaramanga,Junior,Y,FW,90,1,0,1,1,2,1,0,0,1,1,2,1,0,0,0,,,Match Report
51,Diego Herazo,CA Bucaramanga,2020-09-20,Sun,Primera A,First stage,Away,L 1–2,CA Bucaramanga,CD América,Y,FW,90,0,0,0,0,2,2,1,0,2,3,3,0,0,0,0,,,Match Report
52,Diego Herazo,CA Bucaramanga,2020-09-26,Sat,Primera A,First stage,Home,D 1–1,CA Bucaramanga,Boyacá Patriot,Y,FW,90,1,0,1,1,4,2,0,0,1,0,0,1,0,0,0,,,Match Report
53,Diego Herazo,CA Bucaramanga,2020-10-02,Fri,Primera A,First stage,Away,D 0–0,CA Bucaramanga,Millonarios,Y,FW,88,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,,,Match Report
54,Diego Herazo,CA Bucaramanga,2020-10-06,Tue,Primera A,First stage,Home,L 1–2,CA Bucaramanga,Nacional,Y,FW,90,0,0,0,0,1,0,0,0,1,2,1,2,0,0,0,,,Match Report
55,Diego Herazo,CA Bucaramanga,2020-10-12,Mon,Primera A,First stage,Away,W 2–1,CA Bucaramanga,Alianza,Y,FW,90,1,0,1,1,6,1,1,0,4,2,1,0,0,0,0,,,Match Report
